Business_ID,Cuisine
zZkplEhRoGcsDxPgXpxEdQ,chinese
GDqIF-JMOO-8EM3yKn25_w,chinese
v2dtG37r1ThqtfEfiFsAUg,chinese
RkcQl4uEJWblWf4xX8ssqQ,chinese
w0pDi_iMZd5MqYQ7t5q1dQ,chinese
lKxmH-hQ6ezKbq4URKrd-Q,chinese
wqdFd3DZD_uTXRW784mFkg,chinese
6dVXDdgzDEVt4DvHzpWo9w,chinese
sgKNAn72O2XMQXS6AWmf9w,chinese
iKW9zBGWfE9CM6MfK0UtjA,chinese
Jr8S-deYDqbDoo-eJI7nyg,chinese
AeLz0uoZH3hxmkcXlwUIGg,chinese
6kCo3xb87Sc3Aa5ZSWzNnw,chinese
lFw3pv2MQ588kSfWodSIAQ,chinese
-zyyt6r1dou9i3vZxwWWeA,chinese
8Ef9eUwj4fO3uyY1dgEHsg,chinese
B87c3bE_u53yNYO1cmHSIw,chinese
pjbMNd88LRNxvrwaO8kEhQ,chinese
kWJF8L1u5jdlkLBItUu16w,chinese
Nt3Y26a6OMtdBe8xMMJjqQ,chinese
JFFVmuwj8pnSLePgy3f2Iw,chinese
zpdVhXIouhc8gkBXceCtrQ,chinese
cJgOTr_PbcGE53-n8B-g1Q,chinese
iCjntZ9WI6Vl_onP_JqZPA,chinese
QBhHq4eN7rtFzmDUciVL-Q,chinese
XfHgiIsoo1Pr_v04bx9ptg,chinese
EDLKX7cCxPbmbmo1XG3xJQ,chinese
SyvC0s3y0ZrtnLbwnvw7tw,chinese
-5npn9NRmOun7VUVLZpjyw,chinese
4HvBAmpVXUwW5BucwMR13Q,chinese
7hh2eP4HVkyjtpcqeITk3Q,chinese
dRKdRpPEo6rJ2X0RYbfZzQ,chinese
RUnj4RTVOSbbHE5zyguhrg,chinese
hNFe8WhCibrqT4sFcZmAgw,chinese
3cjw6qOQe5Qf_l_SciOfcQ,chinese
SFleMiroXTeWnXfonRic-w,chinese
nFoosLWJGMBL5CRmrGUKyg,chinese
RTFIMX31BPeZzx7kJJ1SCA,chinese
sGwQYKPaMJ-tD2E4fQ0EJQ,chinese
rsbjGGa8kh14ZWYSnK5rGQ,chinese
S2NwTMDe4Vcs6nAoTeMYlA,chinese
S5VN-lFmTdI5VVQ0qFyfCQ,chinese
eVDV1ALwvre01Xo8v6BCoQ,chinese
2PY9Fty_6QRpnZGIxo34eQ,chinese
jY24wzoHi-DSHYSybWao7w,chinese
bVEvRibOk3dukWJ8TiU7GQ,chinese
Sj2StOWkhHIPE6_sS5RMCQ,chinese
tS4aiWBYgzlqKX898jr3_w,chinese
iFAAI-7NoceHYVybom5SyA,chinese
3K7Kc82bhU6-qjAjsBs3Fw,chinese
OXTcpNk9ZXuOxPnjpcSs7w,chinese
-T_5QJwgPMxfXTeOmpImsA,chinese
emaMBqN_eWu71rgnQEnG3g,chinese
Qwd4Tv-CqgO2Yl9zZgkKOQ,chinese
1GNH6ZldleY8rKtWNZX_yg,chinese
1MqGlFP3b7H77fzUkJMKgw,chinese
kwqOmEwWJ0D9PyCdFGE3-g,chinese
UiBQ8Uyu4wfOtEM1Rr8ycA,chinese
GGRMY-twaqZf_NIAprBJkg,chinese
_MdNLeBAcwv5Nb2yArZFvg,chinese
8JUmgPzucg0qbc8oRSYgJw,chinese
hDrPCldN8HJoQfK2a6t_uA,chinese
VQ5YGa4L4AT3ugF61hM9qQ,chinese
_fZQDgmasvWBtCTj9583lg,chinese
ipv4lBvbfVzCnSahqrJckQ,chinese
qGgQMVExGERqGhZNDM2ROg,chinese
VDbMrjBq-XAKZTS_cgB9_A,chinese
ctfDC3-bK-Up3IC5wFnBVQ,chinese
jjJc_CrkB2HodEinB6cWww,chinese
dhR4FMfoN0-MT5JOs7B-5g,chinese
JaKLZrh1Y_2qB_0Gc3bk3A,chinese
l1nX-f46dmOEmYPoiuLSaw,chinese
DyC5HxYK8E09N2Hb-6WyGQ,chinese
zYoL-o9YJpGTwJ-Gmj8AFA,chinese
u6Yrkowq8k5zBpClvjX2FA,chinese
YkHSu1qIQvG9uxTTBUYIoQ,chinese
KBZQN540Xz6LbXLRVOMc0w,chinese
0V9kFPYzh8zcoZOKhXuTZw,chinese
SbDFRevMMi_6o-6-mzWMxg,chinese
SNDUD4LFjVHWwrdAkokxRg,chinese
D13m2P0qKQUWNqIW-lpHZg,chinese
U5dCWjAxrvLLMH1ErpGfvw,chinese
NjBgTtcJgdXKLvqYt3C8CQ,chinese
rHg81VzTGVREMCfMmgYMog,chinese
2lJwfmyRKO8zFz5Xuiw11w,chinese
7Ap1bmY3u_uM9L63fy0g7A,chinese
xrTUkzB4YQTXm8TKdNyJ4A,chinese
AQqUiXi0hn1xu5qVfM54IQ,chinese
OyUqDYNctt81gsNLvfHp5A,chinese
q2bIyvU8CQwiB6xe_iVs0g,chinese
G9uSeXMXv6QB8ZEQeOhYVA,chinese
WEa266y5CsANNqvyfG7elA,chinese
b03GEE_pYlLCdD6yShZKqw,chinese
zPMSuQJRpXi11G_Tqv1LJQ,chinese
vLPC4i4StmkyKLe2LrQX-A,chinese
FfUc69vNKeTkGqdpnq0giQ,chinese
OfVP8lDL1Juk8b8Hlx7fQg,chinese
bDsXyYwzk4I9_7l51D_gaA,chinese
HICimyBWKDwrXLnBuDZOZw,chinese
hjlvKeRTHA5mh1dNX4yM-w,chinese
y8JSKjpWeQg8vzm5wovOwQ,chinese
ELB1RgCv39PBewQx5gmW7Q,chinese
d6pcRMV1YUDFTKO_p9d-sA,chinese
qu3niqEXOUdNxCCXnSPBYg,chinese
IGjdEM0s4WfOYrMSzO6q9Q,chinese
mJtzpKUPK2GquqpR9JS-jQ,chinese
kNOr6_g6QfBHdhf89j3g5w,chinese
9K8VhYvIA26AFMQY8S1soQ,chinese
ru9KtvY8f_b2SKrKwtS3CA,chinese
6LfskUyZzmcDSV6h5kOwGw,chinese
VKVKKCxE9aU6rgfGEkD0_A,chinese
6wJOojpF2c4lLeBNbTBB0A,chinese
A_e9adJ7v_U7trur2JMrgA,chinese
PKkCtyZQpVEzivSF41ZgIw,chinese
IQ91FltwJmIPhS6fKKf2pw,chinese
nrPfcOC4mGnEL-9CpoGhMg,chinese
wo7-TKh4B37RTBjPNtkp7w,chinese
akWRnF0VFJLJD4uOnGWB-g,chinese
U2x299aFPwXRYXlMxyO4tw,chinese
XQe54YWdzQHCsxdDVEGLrA,chinese
hBbAmEYXM4L03AU9Vt_p9g,chinese
MXstrG3HjF83LcxAd8OpTw,chinese
a5Ei7GYvlXCDv-j3q1lBLg,chinese
TV8v5BQXMprtMwhkUXjLdw,chinese
XjPfgkSP-RDEkq_ox8fE3A,chinese
XaEFFUabnbH8ZF7ccmSAlQ,chinese
ePVlFbTzdVQFWie__kdplg,chinese
OUXpyNFn4XY-2cNyURHCQw,chinese
PUwrkoUztUYs4VdHlK9qBg,chinese
I39S72G5LG9uyDz2cNWJcw,chinese
XmycF9-fpEPlgMe8_qgJrQ,chinese
how8tgcLnWzGbDQ5E4r1lg,chinese
TadRviRC9Z1WhgSsGi3Yow,chinese
H87c1gVVCKneyI0LxaDFxQ,chinese
hdiQrGDT8enOzpxaipBzNA,chinese
GzY2EjCmGNgvRd7IE20fTA,chinese
JDv_pfBjuaU3BR7GC6GxRQ,chinese
bacGm8cL-vUPHdR18_M7bw,chinese
7wrFd9tnIBMClzDnrWdSNw,chinese
pqGGfA3Vm9srfTIJLgL0Ew,chinese
RQRQOO_CGhj16AIz4KqlQA,chinese
56wxE888GknVcUeAXBfqFw,chinese
e-6UcplEErq2Hj14-eiM6Q,chinese
nznIq087BJUN1fLtPQ0Xww,chinese
GrxbGiLMkl1jd665k1lbIQ,chinese
_f6jjUliJY8IVrgkcgG_zw,chinese
BcOuqkUniZJG5NLpdzeOYQ,chinese
S-aX_Pz8F7nDL6kRThKcHw,chinese
B98cXrMI16HslKLqg6Nb9A,chinese
RgIFYmjtBp5k90AK1jP7Zw,chinese
uP0zrPN8vCMxTe1jnsKsZQ,chinese
6NfeqE-5OBXfGBXhr4PJVg,chinese
-blfi-MkfH1KxX9KrO59jw,chinese
PGBHteqfNcTqesQFKqqdsg,chinese
rR5Y9mp2Yob3rgetJscPWQ,chinese
Tk605KjXVTnXpGkOSuVBaQ,chinese
8FJ8XVa-duF8rPeyfscUPg,chinese
Hq2FG_zs4J7BTFwUF0VYrw,chinese
VIur-OanRPkNvbo9rXRlEQ,chinese
nx4sK_yXLpHL1d3iKT7z3Q,chinese
3ESDUFulPVoMJdsqPQGm0A,chinese
zb78ua-FlfFRj8v082giBw,chinese
02vk_9R9iv22JBft8KpIxQ,chinese
uaC_4pjwtdJ_SngBsJABHw,chinese
ATqzYWJLxhNlaXGjmHGNZQ,chinese
CqvbXj6siqnBKaTjqNWwuw,chinese
E1QQuFMX7DAEt8jV4attkA,chinese
OSqcNi7EZLAMtuiQjuoiLg,chinese
_S1whhLT7Wn2x9awrP-Bug,chinese
UyBbMNIM7zA3fh6lEnLiZQ,chinese
YKsHo3V-PkeRQdLYOdG7ZA,chinese
-6KT1D508e6zvqHJvv4r2Q,chinese
xi_QX5uArqDM4LeL4WIv1Q,chinese
31fcTAZjm1MG7abejOiI-Q,chinese
eUFzb1iKTBlc-ScxSW6NCw,chinese
EAqXEChadTFNm2flg_Y6IQ,chinese
OvdCm3j_5HzItolfvwrEUA,chinese
Gvg0ZLMsyZkLWHhT6uJs7w,chinese
bKXnm2k44mSdU0fP69lY-g,chinese
h3yz3w8ke1jIaGnqGln93A,chinese
YTjUhZh-5IaNsTvzHsOUQQ,chinese
1nE1Kh1NgbtfRKh5byGQkw,chinese
xVPTI1ytXt2PLU-strKcnw,chinese
igFRhlkG_cKF3a87fbVexw,chinese
6OWMji5GiqRlRPZSb1lJ4A,chinese
_O3q6PSXNoPapUar-RVXPw,chinese
obIX3q93sNKq9VcbbRIfTw,chinese
-3A-kTdW-P32hoOMQeBl-A,chinese
fPW_GBZsnBNsIzK62sCHBg,chinese
7VciT24JTq32X7BNLO7EJQ,chinese
gcEMZjjqy5Ucnv_5Pv-q1g,chinese
01m-oqxaCifh0s0eU03bBg,chinese
QY_IgBYFzRulRV8sYUkHZQ,chinese
8Jz2IfS-BGCm1GniqJVe2A,chinese
tsHdT1GDibhYYA0JA7Z9tg,chinese
oXkCGBRjP-qERDlEgPlwxQ,chinese
YfJZBmm9tfW--W_WIGReqA,chinese
XoJwcOxazBKvWikQCATS-w,chinese
ieOIBz6Gfqmwm1B0wUzh9g,chinese
OQ93Z1tAmdPqK7twEEvISA,chinese
NmJ2xtfZrscfWB_a5wEbXQ,chinese
TRVWU2c4SzbsgWOo6Dz2Aw,chinese
AEkpyAGcVe5NgH2Nb7fCNQ,chinese
TWI3efEcCVsTErKFWz4Zqg,chinese
-L_ArHSBcNlG5r0djuQ9Dw,chinese
E2qpRYXvqPWklaSOvdnO4A,chinese
0jksmaH2Fiy3VTricU7g9A,chinese
yuXmo3XGH_G-wY7g3gpeAg,chinese
loLFoBWWXfpFu9fOdWebHQ,chinese
do4L5yWrrGPPZqVRZDcO2w,chinese
D-3KVI4IlQckxA5HMb81Kw,chinese
